,ward,Violation_Counts
0,6,81138
1,16,79481
2,20,77939
3,28,76418
4,24,69828
5,7,64026
6,27,63646
7,17,61683
8,37,59061
9,8,58408
10,34,49640
11,9,48786
12,29,47166
13,5,46222
14,3,45920
15,21,43455
16,42,42298
17,1,41654
18,26,40886
19,15,40479
20,10,39268
21,12,36930
22,11,35866
23,25,35415
24,49,35265
25,35,31873
26,4,30313
27,31,29620
28,22,28219
29,33,27583
30,50,27529
31,48,27435
32,2,27350
33,32,26989
34,44,25594
35,40,24727
36,14,24406
37,36,24200
38,30,24190
39,47,22736
40,43,21752
41,39,20863
42,45,20809
43,46,20809
44,18,20054
45,23,18096
46,38,16707
47,19,16138
48,13,14607
49,41,11514
